tenure_months,monthly_charges,total_charges,contract_type,tech_support,paperless_billing,payment_method,churn
47,58.85,2779.25,One year,Yes,Yes,Electronic check,0
38,41.6,1600.79,Two year,Yes,No,Mailed check,0
13,33.22,429.17,Two year,No,No,Credit card,0
5,107.64,533.8,Two year,No,Yes,Credit card,0
9,60.29,544.45,One year,Yes,Yes,Electronic check,1
21,35.72,751.12,One year,Yes,Yes,Electronic check,0
55,41.6,2272.17,Month-to-month,Yes,No,Credit card,0
26,51.68,1357.83,Two year,No,Yes,Mailed check,0
2,64.24,136.89,Two year,Yes,No,Bank transfer,1
24,74.88,1796.74,One year,Yes,No,Electronic check,0
63,46.37,2914.59,Month-to-month,Yes,Yes,Credit card,0
20,59.39,1181.25,Two year,Yes,No,Electronic check,0
13,57.75,764.25,One year,No,No,Electronic check,0
30,99.47,2980.8,Two year,No,Yes,Mailed check,0
66,70.77,4665.18,Two year,Yes,No,Electronic check,0
55,109.88,6007.72,One year,No,Yes,Mailed check,0
55,34.83,1925.01,Month-to-month,Yes,Yes,Bank transfer,0
59,68.02,4025.9,One year,Yes,Yes,Electronic check,0
8,29.45,243.74,One year,Yes,No,Credit card,0
54,39.47,2121.98,Two year,Yes,No,Mailed check,1
7,89.91,632.67,One year,No,Yes,Bank transfer,0
11,44.65,499.85,One year,Yes,Yes,Bank transfer,0
5,52.79,257.68,Month-to-month,No,Yes,Credit card,0
24,30.85,752.92,One year,No,Yes,Mailed check,0
14,90.46,1258.5,Month-to-month,No,No,Bank transfer,0
26,69.94,1834.65,Month-to-month,No,Yes,Electronic check,1
18,70.32,1265.68,One year,Yes,Yes,Electronic check,0
27,105.5,2862.09,One year,Yes,No,Mailed check,0
53,36.66,1941.4,One year,No,No,Credit card,0
54,90.11,4874.01,Two year,Yes,No,Bank transfer,0
21,99.52,2098.16,Two year,Yes,No,Bank transfer,0
55,83.05,4566.5,One year,No,Yes,Credit card,0
36,71.29,2569.28,Month-to-month,No,Yes,Electronic check,0
26,65.05,1688.49,Month-to-month,Yes,No,Electronic check,0
61,85.4,5193.82,Two year,No,Yes,Credit card,0
12,54.29,647.48,Two year,Yes,Yes,Electronic check,0
57,62.37,3556.87,Two year,No,Yes,Electronic check,0
70,113.15,7907.15,One year,Yes,No,Bank transfer,0
26,23.75,621.8,Two year,No,Yes,Mailed check,0
14,31.45,442.38,Two year,Yes,Yes,Credit card,1
59,109.71,6484.18,Two year,Yes,No,Bank transfer,0
17,81.77,1389.29,Two year,No,No,Electronic check,1
37,70.38,2583.26,Two year,Yes,No,Electronic check,0
25,90.1,2239.66,Month-to-month,No,Yes,Mailed check,0
66,22.32,1473.94,Two year,Yes,Yes,Mailed check,0
62,28.41,1772.07,One year,Yes,No,Electronic check,0
10,28.71,289.97,Month-to-month,No,Yes,Bank transfer,1
30,101.02,3009.75,One year,No,Yes,Electronic check,0
53,113.83,6013.65,Two year,No,Yes,Electronic check,0
70,113.32,7920.33,Two year,No,No,Bank transfer,0
25,90.62,2264.01,Month-to-month,Yes,No,Electronic check,0
57,40.95,2327.56,Month-to-month,No,Yes,Credit card,0
5,79.83,400.12,One year,Yes,Yes,Bank transfer,0
50,66.66,3318.0,Month-to-month,No,Yes,Credit card,0
13,41.26,559.95,One year,Yes,No,Bank transfer,0
67,45.93,3086.69,Month-to-month,Yes,Yes,Electronic check,0
42,96.9,4076.39,Two year,No,No,Credit card,0
5,24.63,143.25,One year,No,Yes,Credit card,1
28,27.23,762.28,One year,Yes,Yes,Mailed check,0
40,84.41,3388.28,Two year,Yes,Yes,Electronic check,0
19,102.48,1940.74,Month-to-month,Yes,Yes,Electronic check,0
42,30.05,1257.36,Two year,No,No,Bank transfer,0
45,102.83,4623.65,One year,Yes,Yes,Mailed check,0
12,20.61,238.98,Month-to-month,No,Yes,Electronic check,0
60,20.86,1249.39,Two year,No,Yes,Mailed check,0
63,57.25,3608.65,Two year,No,Yes,Electronic check,0
20,85.35,1705.14,Month-to-month,No,No,Electronic check,0
65,25.5,1653.45,Two year,No,No,Mailed check,0
29,62.37,1819.77,Two year,Yes,Yes,Electronic check,0
32,93.19,2999.33,One year,Yes,No,Mailed check,0
29,109.71,3194.58,Two year,No,No,Mailed check,0
22,32.48,715.64,Two year,Yes,No,Credit card,1
21,106.4,2230.96,Two year,Yes,No,Credit card,0
34,40.24,1383.65,Month-to-month,Yes,No,Credit card,0
27,111.98,3026.16,Month-to-month,No,Yes,Bank transfer,0
71,79.49,5641.49,Month-to-month,No,No,Mailed check,0
46,63.9,2925.14,Month-to-month,No,No,Electronic check,0
2,95.77,197.6,Two year,No,Yes,Electronic check,1
18,84.64,1526.8,One year,No,Yes,Electronic check,0
41,23.76,973.44,One year,Yes,No,Electronic check,0
46,33.54,1566.86,Month-to-month,No,No,Credit card,0
