square_feet,bedrooms,bathrooms,year_built,garage_cars,neighborhood_rating,price
1745,3,1.0,2006,1,9.4,649300.0
4052,4,1.5,2006,3,5.2,980560.0
1220,2,3.0,1981,0,4.2,403800.0
3058,3,3.0,1973,2,4.6,750040.0
3224,3,1.0,1986,3,3.7,749020.0
2925,3,2.0,2010,2,7.6,833500.0
1378,3,3.5,2015,1,8.5,601540.0
3739,2,3.0,1971,1,8.5,952720.0
3987,3,1.5,1985,3,6.0,948660.0
4007,5,3.5,1979,2,3.3,931560.0
2704,2,3.0,1989,1,5.1,703020.0
2751,5,3.5,1984,3,3.8,723980.0
2976,3,2.5,1997,1,4.6,758080.0
3898,5,1.5,1997,1,6.6,992040.0
2963,2,3.5,1972,3,4.8,727740.0
2427,5,2.0,1975,2,7.3,724360.0
3498,4,1.5,2012,2,5.9,905540.0
1628,5,2.5,1979,3,4.9,531340.0
1325,2,2.5,2006,0,5.0,466700.0
1754,4,3.5,2009,1,4.0,564520.0
1317,3,2.5,1971,2,7.0,488260.0
3774,4,2.0,2019,2,9.4,1057120.0
3826,5,1.0,1977,0,7.8,979080.0
1537,4,3.0,1973,1,7.0,551260.0
2631,4,1.0,1981,2,6.3,716280.0
3937,2,3.0,2022,0,7.7,1029560.0
4083,5,2.5,2007,1,5.8,1029340.0
1096,5,2.0,1974,0,3.6,391080.0
3093,2,2.5,2003,1,3.5,743840.0
3542,4,3.0,1997,0,4.9,888460.0
2307,3,2.0,2013,0,6.1,688360.0
3840,5,2.5,1978,0,4.7,923300.0
1831,4,2.5,1997,1,4.1,554480.0
4198,5,1.5,2002,0,5.7,1029540.0
3443,2,2.0,2016,1,7.9,926440.0
3850,4,3.5,1986,0,8.2,1019200.0
3759,4,2.0,2004,0,3.8,896420.0
3169,3,1.5,2004,3,3.0,749220.0
1920,4,3.5,1978,3,4.5,569700.0
1817,4,2.0,1973,1,6.3,572160.0
2679,4,3.0,2004,0,5.0,744020.0
2869,5,1.0,2008,0,8.1,851520.0
1694,4,1.5,2020,0,8.7,660420.0
3116,4,2.0,1996,1,5.9,823580.0
3447,3,2.5,2022,3,3.8,852860.0
2532,3,3.5,1989,0,3.3,648060.0
3753,3,1.5,2007,2,3.8,877940.0
932,3,2.0,1972,1,7.5,426660.0
3181,5,3.0,1976,1,7.7,883280.0
3660,5,1.0,1988,2,5.9,914900.0
1993,3,3.0,2005,3,4.7,599240.0
1114,5,1.0,2021,0,8.4,558720.0
1670,4,1.0,1983,1,6.9,560700.0
917,5,1.5,2010,0,6.9,478560.0
2505,4,3.0,2018,3,3.2,684500.0
1908,4,3.5,2019,0,6.4,664240.0
2198,5,2.5,2006,2,6.2,698840.0
3910,2,1.0,1978,3,8.6,970400.0
1331,5,1.0,1977,0,7.5,522480.0
2297,5,3.5,1981,1,8.0,743660.0
2746,4,1.5,2021,0,4.1,735980.0
3430,4,3.5,1989,0,7.6,932200.0
981,4,2.5,1997,3,5.5,436480.0
1428,3,2.5,1971,3,6.9,505740.0
3848,2,1.0,1977,2,5.6,883040.0
3111,2,1.5,1986,0,6.1,779680.0
1579,4,2.0,2011,0,5.9,564920.0
2494,2,2.0,2009,1,7.0,724720.0
3646,5,1.0,1982,0,3.0,832680.0
2175,2,3.5,1977,2,8.5,684400.0
3762,3,3.0,2022,0,4.4,930560.0
3515,4,3.5,2010,0,8.3,990200.0
1666,2,1.0,1993,0,5.2,499480.0
1032,2,3.0,1980,1,9.5,501260.0
2206,4,3.5,2014,0,5.5,689380.0
868,5,3.0,2022,0,7.0,504640.0
4161,2,3.0,1995,2,9.2,1074980.0
1369,2,2.0,2015,2,7.7,546920.0
